ORGANCODE,TICKER,YEARREPORT,LENGTHREPORT,BS.1,BS.2,BS.3,BS.4,BS.8,BS.9,BS.10,BS.11,BS.12,BS.13,BS.14,BS.18,BS.19,BS.20,BS.21,BS.22,BS.24,BS.23,BS.27,BS.28,BS.29,BS.30,BS.33,BS.36,BS.39,BS.42,BS.50,BS.51,BS.52,BS.53,BS.56,BS.57,BS.58,BS.59,BS.60,BS.65,BS.66,BS.67,BS.68,BS.69,BS.70,BS.71,BS.72,BS.73,BS.74,BS.75,BS.76,BS.77,BS.80,BS.81,BS.82,BS.83,BS.84,BS.85,BS.86,BS.87,BS.88,BS.89,BS.90,BS.91,BS.92,BS.5,BS.6,BS.7,BS.15,BS.16,BS.17,BS.26,BS.25,BS.31,BS.32,BS.34,BS.35,BS.37,BS.38,BS.40,BS.41,BS.43,BS.44,BS.45,BS.46,BS.47,BS.48,BS.54,BS.55,BS.61,BS.62,BS.63,BS.64,BSA177,BSA178,BS.78,BS.93,BS.94,BS.95,BS.96,BS.97,BS.98,BS.99,BS.100,IS.1,IS.2,IS.3,IS.4,IS.5,IS.6,IS.7,IS.8,IS.9,IS.10,IS.11,IS.12,IS.13,IS.14,IS.15,IS.16,IS.17,IS.18,IS.21,IS.19,IS.20,IS.22,IS.23,IS.24,IS.25,Nt.27,Nt.28,Nt.29,Nt.30,Nt.31,Nt.32,Nt.33,Nt.34,Nt.35,Nt.36,Nt.37,Nt.38,Nt.39,Nt.40,Nt.41,Nt.42,Nt.43,Nt.44,Nt.45,Nt.46,Nt.47,Nt.48,Nt.49,Nt.50,Nt.51,Nt.52,Nt.53,Nt.54,Nt.55,Nt.56,Nt.57,Nt.58,Nt.59,Nt.60,Nt.61,Nt.62,Nt.63,Nt.64,Nt.65,Nt.66,Nt.67,Nt.68,Nt.69,Nt.70,Nt.71,Nt.72,Nt.73,Nt.74,Nt.75,Nt.76,Nt.77,Nt.78,Nt.79,Nt.80,Nt.81,Nt.82,Nt.83,Nt.84,Nt.85,Nt.86,Nt.87,Nt.88,Nt.89,Nt.90,Nt.120,Nt.121,Nt.122,Nt.123,Nt.124,Nt.125,Nt.126,Nt.127,Nt.128,Nt.129,Nt.130,Nt.131,Nt.132,Nt.133,Nt.134,Nt.135,Nt.136,Nt.137,Nt.138,Nt.139,Nt.140,Nt.141,Nt.142,Nt.143,Nt.144,Nt.145,Nt.146,Nt.147,Nt.148,Nt.149,Nt.150,Nt.151,Nt.152,Nt.153,Nt.154,Nt.155,Nt.156,Nt.157,Nt.158,Nt.159,Nt.160,Nt.161,Nt.162,Nt.163,Nt.164,Nt.165,Nt.166,Nt.167,Nt.168,Nt.169,Nt.170,Nt.171,Nt.172,Nt.173,Nt.174,Nt.175,Nt.176,Nt.177,Nt.178,Nt.179,Nt.180,Nt.181,Nt.182,Nt.183,Nt.184,Nt.185,Nt.186,Nt.187,Nt.188,Nt.189,Nt.203,Nt.204,Nt.205,Nt.206,Nt.207,Nt.208,Nt.209,Nt.210,Nt.211,Nt.212,Nt.213,Nt.214,Nt.215,Nt.216,Nt.217,Nt.218,Nt.219,Nt.1,Nt.2,Nt.3,Nt.4,Nt.5,Nt.6,Nt.7,Nt.8,Nt.9,Nt.10,Nt.11,Nt.12,Nt.13,Nt.14,Nt.15,Nt.16,Nt.17,Nt.18,Nt.19,Nt.20,Nt.21,Nt.22,Nt.23,Nt.24,Nt.25,Nt.26,Nt.91,Nt.92,Nt.93,Nt.94,Nt.95,Nt.96,Nt.97,Nt.98,Nt.99,Nt.100,Nt.101,Nt.102,Nt.103,Nt.104,Nt.105,Nt.106,Nt.107,Nt.108,Nt.109,Nt.110,Nt.111,Nt.112,Nt.113,Nt.114,Nt.115,Nt.116,Nt.117,Nt.118,Nt.119,Nt.190,Nt.191,Nt.192,Nt.193,Nt.194,Nt.195,Nt.196,Nt.197,Nt.198,Nt.199,Nt.200,Nt.201,Nt.202,Nt.220,PERIOD_INDEX,CA.1,CA.2,CA.3,CA.4,CA.5,CA.6,CA.7,CA.8,CA.14,CA.15,CA.16,CA.17,CA.19,CA.20,CA.21,CA.22,CA.23,CA.24,CA.25,CA.26,CA.27,CA.28,CA.29,CA.30,CA.31,CA.32,CA.33,CA.34,CA.35,CA.36,CA.37,CA.38,CA.39,CA.40,CA.41,CA.42,CA.43,CA.44,CA.45,CA.46,CA.47,CA.48,CA.49,CA.50,CA.51,CA.52,CA.53,CA.54,CA.55,CA.56,CA.57,CA.58,CA.59,CA.60,CA.61,CA.62,CA.63,CA.64,CA.65,CA.66,CA.67,CA.18,CA.12,CA.9,CA.10,CA.13
ABB,ABB,2018,1,"74,124.4","1,061.2","1,130.7","6,786.7",0.0,0.0,0.0,47.4,"44,833.7","45,656.7",-823.0,"16,247.0","14,572.5","2,881.8","-1,207.2",314.2,0.0,45.8,268.8,-0.4,879.0,535.3,0.0,343.7,72.5,"2,441.5","74,124.4","67,626.7",0.0,"9,532.4","53,845.1",0.0,261.3,"1,965.7","2,022.1","6,497.6","5,320.5","5,319.5",1.0,0.0,0.0,0.0,0.0,297.3,-2.3,0.0,882.1,0.0,"5,504.6",0.0,0.0,0.0,0.0,"5,504.6",0.0,0.0,0.0,0.0,0.0,"5,504.6","46,221.4","2,732.9","4,053.7",0.0,310.5,312.9,-2.4,0.0,45.8,941.3,-406.0,0.0,0.0,520.9,-177.2,74.0,-1.6,"1,219.3",942.2,0.0,451.1,0.0,-171.2,"3,462.1","6,070.3","1,049.7",0.0,972.4,0.0,0.0,882088990543.0,0.0,"44,131.3","11,196.7","11,171.1","21,763.5",0.0,339.9,"1,096.4",653.8,"1,342.9",-792.4,550.5,61.1,-25.7,35.4,68.9,8.4,251.7,34.1,-39.7,-5.6,0.3,909.6,-376.8,532.8,-149.1,383.7,-3.7,-3.7,0.0,380.0,0.0,380.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,20181,84.8%,,,,,,,,41.4%,,,1.8%,1.4%,1140.8%,"71,341.2","65,604.6",,,,,,28.0%,,,,,"45,969.6",,,"17,454.2",,,"7,917.4",,,"57,307.2",,,"6,331.6",,,,,,,113.1%,0.1%,,,,,,,,359.1,,,,,,,,,,,
ABB,ABB,2018,2,"88,586.2","1,319.1","1,096.5","18,044.4",0.0,0.0,0.0,66.2,"45,701.7","46,477.4",-775.7,"17,592.8","15,764.5","3,114.6","-1,286.3",313.8,0.0,45.5,268.8,-0.4,862.6,522.5,0.0,340.1,72.5,"3,216.9","88,586.2","82,015.1",0.0,"17,420.6","59,552.9",0.0,"1,158.9","1,965.7","1,917.0","6,571.1","5,320.5","5,319.5",1.0,0.0,0.0,0.0,0.0,370.6,0.0,0.0,880.1,0.0,"5,342.8",0.0,0.0,0.0,0.0,"5,342.8",0.0,0.0,0.0,0.0,0.0,"5,342.8","32,191.1","7,867.1","10,177.3",0.0,299.7,302.1,-2.3,0.0,45.5,940.8,-418.2,0.0,0.0,521.3,-181.2,74.0,-1.6,"1,846.0","1,047.3",0.0,493.3,0.0,-169.8,"8,038.1","9,382.5",941.3,0.0,975.7,0.0,0.0,880075000000.0,0.0,"30,828.9","8,919.4","8,942.6","12,966.9",0.0,74.4,"1,287.8",0.0,"1,343.4",-825.4,518.0,79.9,-34.0,45.9,30.6,0.0,109.0,4.7,-8.8,-4.1,0.7,700.2,-391.1,309.1,-100.2,208.9,-117.3,-117.3,0.0,91.6,0.0,91.6,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,20182,78.0%,,,,,,,,55.9%,,,1.7%,0.3%,1348.1%,"84,799.5","80,098.1","78,070.3","72,851.3",6.9%,4.5%,2.7%,32.4%,"81,355.3","6,534.4",0.5%,5.6%,"46,779.5","46,374.5",,"18,879.1","18,166.7",,"19,140.9","13,529.1",,"67,591.0","62,449.1",,"10,541.3","8,436.5",,"1,965.7",,0.2%,0.1%,106.2%,0.1%,,,,,,,,182.2,,,,,,,1.6%,,,,
ABB,ABB,2018,3,"83,536.6","1,246.4","1,329.6","12,779.8",0.0,0.0,0.0,0.0,"44,656.2","45,378.6",-722.4,"18,520.9","15,574.7","4,287.9","-1,341.6",314.2,0.0,45.5,268.8,0.0,877.3,536.0,0.0,341.3,72.5,"3,450.7","83,536.6","76,862.2",0.0,"14,586.1","57,352.9",41.8,"1,167.8","1,965.7","1,747.9","6,674.3","5,320.5","5,319.5",1.0,0.0,0.0,0.0,0.0,370.6,-5.9,0.0,989.1,0.0,"5,111.3",0.0,0.0,0.0,0.0,"5,111.3",0.0,0.0,0.0,0.0,0.0,"5,111.3","70,495.3","6,812.6","5,967.2",0.0,289.0,291.3,-2.3,0.0,45.5,967.8,-431.8,0.0,0.0,526.7,-185.4,74.0,-1.6,"1,892.9","1,281.6",0.0,445.9,0.0,-169.8,"4,785.5","9,800.6","1,025.2",0.0,722.6,0.0,0.0,989120607270.0,0.0,"67,291.2","9,457.8","9,456.8","48,376.6",0.0,62.7,568.9,"2,572.4","1,423.4",-908.7,514.7,79.1,-32.2,46.9,24.1,0.0,5.5,2.7,-6.2,-3.5,1.6,589.2,-383.7,205.5,-90.3,115.3,-6.2,-6.2,0.0,109.0,0.0,109.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,20183,79.1%,,,,,,,,65.1%,,,1.6%,-3.5%,1251.6%,"79,641.8","75,072.6","82,220.6","77,585.3",6.9%,4.7%,2.5%,43.9%,"86,061.4","6,622.7",0.5%,6.6%,"45,669.9","46,224.7",,"19,862.6","19,370.9",,"14,109.4","16,625.1",,"62,138.4","64,864.7",,"10,968.4","10,754.9",,"1,965.7",,0.2%,0.1%,110.0%,0.1%,,,,,,,,74.6,,,,,,,2.0%,,,,
ABB,ABB,2018,4,"90,213.7",860.0,"2,171.8","9,138.9",0.0,0.0,0.0,107.9,"51,541.5","52,184.1",-642.6,"21,151.2","18,420.1","3,670.5",-939.4,268.8,0.0,0.0,268.8,0.0,946.3,541.2,0.0,405.1,72.5,"3,676.7","90,213.7","83,323.3","6,753.0","9,344.0","62,259.9",0.0,"1,152.0","1,943.0","1,871.3","6,890.5","5,320.5","5,319.5",1.0,0.0,0.0,0.0,0.0,373.7,0.0,0.0,"1,196.3",0.0,"5,610.1",0.0,0.0,0.0,0.0,"5,610.1",0.0,0.0,0.0,0.0,0.0,"5,610.1","64,373.6","6,718.7","2,420.1",0.0,278.3,280.5,-2.2,0.0,0.0,987.3,-446.1,0.0,0.0,598.8,-193.7,74.0,-1.6,"2,230.1",995.2,0.0,619.4,0.0,-167.9,"4,237.5","5,106.4","1,065.9",0.0,805.4,0.0,0.0,1196305412703.0,0.0,"61,486.8","4,285.6","4,289.1","52,912.1",0.0,42.5,285.2,"2,559.2","1,368.9",-900.1,468.8,303.0,-42.0,261.0,72.6,0.1,31.8,22.3,-58.6,-36.2,-0.5,797.6,-558.1,239.4,3.5,243.0,-32.2,-32.2,0.0,210.8,0.0,210.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,20184,83.8%,,,,,,,,70.0%,,,1.2%,-4.0%,1309.3%,"85,865.9","81,451.9","82,753.9","78,262.2",6.6%,4.6%,2.3%,-1.5%,"86,875.1","6,782.4",1.0%,12.4%,"52,464.7","49,067.3",,"22,090.6","20,976.6",,"11,310.6","12,710.0",,"66,497.4","64,317.9",,"13,011.5","11,990.0",,"1,954.4",,-0.0%,0.3%,115.7%,0.5%,,,,,,,,328.7,,,,,,,1.4%,,,,
ABB,ABB,2019,1,"83,320.4",858.7,"1,242.0","14,764.2",50.7,50.7,0.0,61.3,"47,495.8","48,193.9",-698.1,"14,927.7","12,395.7","3,640.4","-1,108.4",268.8,0.0,0.0,268.8,0.0,984.6,569.8,0.0,414.9,72.2,"2,326.7","83,320.4","76,357.6",0.0,"14,626.3","57,057.6",0.0,"1,144.9","1,934.8","1,594.0","6,962.9","5,320.5","5,319.5",1.0,0.0,0.0,0.0,0.0,373.7,-5.7,0.0,"1,274.4",0.0,"4,739.7",0.0,0.0,0.0,0.0,"4,739.7",0.0,0.0,0.0,0.0,0.0,"4,739.7","81,952.8","8,476.8","6,287.4",0.0,267.6,269.7,-2.1,0.0,0.0,"1,030.8",-461.1,0.0,0.0,614.4,-199.5,74.0,-1.9,"1,124.7",778.3,0.0,586.8,0.0,-163.0,"4,328.5","10,297.8","1,137.5",0.0,456.5,0.0,0.0,1274370886428.0,0.0,"79,008.8","5,642.1","5,638.4","67,728.2",0.0,46.8,339.2,"2,558.1","1,520.0",-938.6,581.4,70.2,-35.8,34.4,34.3,3.4,45.9,24.3,-2.0,22.3,0.0,721.7,-398.3,323.4,-219.2,104.2,-3.7,-3.7,0.0,100.5,0.0,100.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,20191,84.5%,,,,,,,,55.2%,,,1.4%,-7.3%,1196.6%,"80,556.6","74,763.6","83,211.3","78,107.7",7.3%,4.8%,2.8%,67.8%,"86,767.1","6,926.7",0.5%,5.8%,"48,463.6","50,464.1",,"16,086.8","19,088.7",,"16,006.2","13,658.4",,"61,386.1","63,941.8",,"11,442.7","12,227.1",,"1,938.9",,0.4%,0.0%,109.0%,0.1%,,,,,,,,140.3,,,,,,,1.2%,,,,
ABB,ABB,2019,2,"91,036.5",893.8,972.9,"19,195.2",0.0,0.0,0.0,31.0,"48,933.3","49,564.6",-631.3,"17,206.8","14,264.0","4,087.6","-1,144.7",268.8,0.0,0.0,268.8,0.0,982.2,566.8,0.0,415.4,71.8,"2,285.7","91,036.5","83,757.9","1,428.3","15,489.1","59,836.3",0.0,"1,156.7","4,211.8","1,635.6","7,278.6","5,320.5","5,319.5",1.0,0.0,0.0,0.0,0.0,494.3,-0.0,0.0,"1,463.8",0.0,"4,085.6",0.0,0.0,0.0,0.0,"4,085.6",0.0,0.0,0.0,0.0,0.0,"4,085.6","65,871.7","13,758.1","5,437.1",0.0,195.0,197.0,-2.0,0.0,0.0,"1,042.3",-475.6,0.0,0.0,621.0,-205.6,74.0,-2.2,917.1,923.6,0.0,577.7,0.0,-132.6,"7,300.5","8,188.6","1,090.0",0.0,545.6,0.0,0.0,1463822000000.0,0.0,"62,403.3","7,092.8","7,088.6","48,222.0",0.0,54.1,845.7,"2,568.5","1,644.7",-937.3,707.3,73.9,-39.9,33.9,33.0,0.1,131.4,11.6,-0.0,11.6,0.3,917.6,-399.6,518.0,-71.2,446.8,-110.7,-110.7,0.0,336.0,0.0,336.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,20192,82.8%,,,,,,,,43.5%,,,1.3%,-10.8%,1250.7%,"88,281.3","82,122.2","84,419.0","78,442.9",7.8%,4.8%,3.4%,13.8%,"87,178.4","7,120.7",1.5%,18.9%,"49,761.6","49,112.6",,"18,351.6","17,219.2",,"20,168.1","18,087.2",,"67,136.8","64,261.4",,"10,773.7","11,108.2",,"3,073.3",,0.1%,0.0%,106.0%,0.1%,,,,,,,,210.3,,,,,,,1.4%,,,,
ABB,ABB,2019,3,"91,243.6",900.3,"1,533.5","14,326.0",0.0,0.0,0.0,80.2,"51,010.1","52,157.0","-1,146.9","18,898.6","15,860.5","3,708.9",-670.8,268.8,0.0,0.0,268.8,0.0,985.8,563.1,0.0,422.7,71.5,"2,973.3","91,243.6","83,625.0",0.0,"13,295.3","63,056.9",0.0,"1,149.4","4,400.5","1,722.9","7,618.6","5,714.1","5,713.1",1.0,0.0,0.0,0.0,0.0,494.3,3.0,0.0,"1,407.2",0.0,"4,117.8",0.0,0.0,0.0,0.0,"4,117.8",0.0,0.0,0.0,0.0,0.0,"4,117.8","100,312.3","10,352.2","3,973.8",0.0,195.5,197.0,-1.5,0.0,0.0,"1,052.8",-489.6,0.0,0.0,635.0,-212.3,74.0,-2.5,"1,063.7","1,003.2",0.0,"1,039.1",0.0,-132.6,"4,716.0","8,579.3","1,293.3",0.0,429.6,0.0,0.0,1407224856733.0,0.0,"96,847.2","9,859.0","9,864.3","77,123.9",0.0,37.9,869.2,"2,558.1","1,615.0","-1,047.8",567.2,84.0,-40.6,43.5,71.3,0.0,195.6,98.9,-53.5,45.4,2.0,924.9,-443.6,481.3,-143.2,338.0,-90.2,-90.2,0.0,247.8,0.0,247.8,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,20193,82.7%,,,,,,,,48.0%,,,2.2%,-8.9%,1197.6%,"87,782.9","81,902.0","88,032.1","82,012.1",7.3%,5.1%,2.6%,29.8%,"91,140.0","7,448.6",1.1%,13.3%,"52,354.0","51,057.8",,"19,569.4","18,960.5",,"15,859.5","18,013.8",,"67,772.9","67,454.8",,"9,728.7","10,251.2",,"4,306.1",,0.3%,0.0%,106.3%,0.1%,,,,,,,,357.7,,,,,,,1.4%,,,,
ABB,ABB,2019,4,"102,620.4",757.1,"6,802.6","17,854.6",8.9,8.9,0.0,49.8,"56,071.2","56,803.0",-731.8,"16,463.3","15,001.0","1,867.5",-405.3,268.8,0.0,0.0,268.8,0.0,950.2,574.4,0.0,375.9,71.2,"3,170.9","102,620.4","94,763.5",0.0,"16,734.9","69,574.3",0.0,"1,161.9","5,191.0","2,101.2","7,856.9","5,714.1","5,713.1",1.0,0.0,0.0,0.0,0.0,494.3,0.0,0.0,"1,648.5",0.0,"4,342.4",0.0,0.0,0.0,0.0,"4,342.4",0.0,0.0,0.0,0.0,0.0,"4,342.4","101,914.1","9,706.2","8,148.4",0.0,151.8,153.2,-1.5,0.0,0.0,"1,078.4",-504.1,0.0,0.0,595.2,-219.3,74.0,-2.8,"1,101.4",855.7,0.0,"1,389.6",0.0,-175.8,"8,466.0","8,269.0","1,545.7",0.0,555.6,0.0,0.0,1648511834214.0,0.0,"98,781.4","5,589.8","5,593.4","87,598.2",0.0,32.8,546.4,"2,553.7","1,746.3","-1,123.9",622.3,126.9,-45.3,81.6,57.2,1.3,231.1,180.6,-70.1,110.5,0.0,"1,104.1",-630.0,474.0,-89.2,384.8,-143.5,-143.5,0.0,241.3,0.0,241.3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,20194,81.6%,,,,,,,,57.1%,,,1.3%,-1.8%,1306.1%,"98,490.9","92,662.3","93,136.9","87,282.2",7.5%,5.2%,2.7%,18.8%,"96,932.0","7,737.8",1.0%,12.5%,"56,956.2","54,655.1",,"16,877.5","18,223.4",,"24,657.2","20,258.4",,"78,040.3","72,906.6",,"9,430.9","9,579.8",,"4,795.8",,0.2%,0.1%,98.5%,0.1%,,,,,,,,481.7,,,,,,,1.1%,,,,
ABB,ABB,2020,1,"95,371.5",582.8,"1,199.7","17,422.1",0.0,0.0,0.0,0.0,"55,253.6","56,056.2",-802.6,"16,560.9","13,667.4","3,321.3",-427.8,268.8,0.0,0.0,268.8,0.0,935.1,562.1,0.0,372.9,70.9,"2,925.5","95,371.5","87,230.9",778.2,"11,371.9","66,429.2",80.2,"1,175.2","5,191.0","2,205.2","8,140.5","5,714.1","5,713.1",1.0,0.0,0.0,0.0,0.0,647.5,-51.4,0.0,"1,830.3",0.0,"4,036.9",0.0,0.0,0.0,0.0,"4,036.9",0.0,0.0,0.0,0.0,0.0,"4,036.9","131,016.6","10,888.2","6,533.9",0.0,152.1,153.2,-1.1,0.0,0.0,"1,080.3",-518.2,0.0,0.0,599.6,-226.6,74.0,-3.1,899.8,866.4,0.0,"1,414.0",0.0,-254.8,"4,763.4","6,608.5","1,761.5",0.0,443.7,0.0,0.0,1830322568191.0,0.0,"127,891.0","10,840.5","10,841.1","106,209.4",0.0,29.1,500.6,"2,596.0","1,708.7","-1,176.2",532.5,72.7,-46.2,26.5,143.4,0.0,167.1,42.8,-5.6,37.2,0.0,906.7,-433.0,473.6,-92.9,380.8,-3.9,-3.9,0.0,376.9,0.0,376.9,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,20201,84.4%,,,,,,,,47.8%,,,1.4%,-9.2%,1171.6%,"91,819.9","84,945.6","95,155.4","88,803.9",7.2%,5.3%,2.2%,19.6%,"98,995.9","7,998.7",1.5%,18.8%,"56,209.5","56,582.8",,"16,988.7","16,933.1",,"18,621.8","21,639.5",,"71,192.6","74,616.4",,"8,561.9","8,996.4",,"5,191.0",,0.2%,0.0%,102.0%,0.0%,,,,,,,,374.2,,,,,,,1.2%,,,,
ABB,ABB,2020,2,"95,010.3",776.6,"1,282.7","15,213.4",0.0,0.0,0.0,113.5,"56,646.9","57,333.8",-686.9,"16,718.3","14,820.9","2,384.4",-486.9,268.8,0.0,0.0,268.8,0.0,938.7,569.4,0.0,369.3,70.6,"2,828.6","95,010.3","86,817.1",0.0,"12,268.0","69,903.9",0.0,"1,139.0","1,412.0","2,094.2","8,193.2","5,714.1","5,713.1",1.0,0.0,0.0,0.0,0.0,647.5,-71.9,0.0,"1,903.5",0.0,"96,501.9",0.0,0.0,0.0,0.0,"96,501.9","92,717.6",0.0,0.0,0.0,0.0,"3,784.3","96,047.7","10,571.3","4,642.1",0.0,152.1,153.2,-1.1,0.0,0.0,"1,101.6",-532.3,0.0,0.0,602.7,-233.4,74.0,-3.4,774.7,776.4,0.0,"1,453.1",0.0,-175.5,"10,022.8","2,245.2","1,659.2",0.0,435.1,0.0,0.0,1903493000000.0,0.0,"92,717.6","5,333.6","5,346.3","82,037.7",0.0,24.3,751.2,"2,554.6","1,643.9","-1,088.8",555.1,84.2,-43.8,40.4,91.3,5.0,83.2,23.3,-12.6,10.8,0.3,786.0,-397.0,389.0,-174.9,214.1,-119.7,-119.7,0.0,94.5,0.0,94.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,20202,82.0%,,,,,,,,50.5%,,,1.2%,-0.8%,1159.6%,"91,188.4","84,722.8","91,504.2","84,834.2",7.2%,5.1%,2.4%,45.0%,"95,190.9","8,166.9",0.4%,4.6%,"57,487.0","56,848.2",,"17,205.2","17,097.0",,"16,496.1","17,558.9",,"79,926.7","75,559.6",,"3,384.2","5,973.1",,"3,301.5",,0.3%,0.0%,104.5%,0.1%,,,,,,,,230.9,,,,,,,1.0%,,,,
